molecule	logP	Encap_Efficiency	n_beads	epsilon_W	epsilon_EO	epsilon_N1	epsilon_polymer	relative_polymer_over_W	delta_polymer_minus_W	plape_plape	plape_res	res_res	res-rest
HEaSC00220	-0.402200	0.538133	3	6.970000	7.126010	6.930000	14.056010	2.016644	7.086010	-25627.800000	-1747.580000	-19.418100	-1495.630000
HEaSC00087	-0.327300	0.092533	2	5.020000	4.888252	4.620000	9.508252	1.894074	4.488252	-25999.300000	-136.775000	-2.796270	-1718.890000
HEaSC00514	-0.322100	0.283933	3	9.100000	8.535560	8.150000	16.685560	1.833578	7.585560	-25776.000000	-833.223000	-37.221900	-3124.020000
HEaSC00121	-0.309900	0.236933	2	5.510000	5.219751	5.230000	10.449751	1.896507	4.939751	-25938.300000	-550.007000	-7.339710	-2027.530000
HEaSC00305	-0.303000	0.261333	2	6.090000	6.181153	5.930000	12.111153	1.988695	6.021153	-26007.900000	-624.711000	-11.953600	-2373.230000
HEaSC00345	-0.303000	0.158533	2	6.340000	6.058228	5.840000	11.898228	1.876692	5.558228	-26031.300000	-326.922000	-9.248920	-2672.750000
HEaSC00122	-0.297700	0.255333	2	5.510000	5.219751	5.230000	10.449751	1.896507	4.939751	-25680.800000	-574.557000	-7.719590	-2018.440000
HEaSC00106	-0.297700	0.403533	3	8.510000	8.035999	8.150000	16.185999	1.901998	7.675999	-25585.500000	-1444.460000	-118.945000	-2659.420000
HEaSC00495	-0.296000	0.556467	4	10.960000	10.647033	10.460000	21.107033	1.925824	10.147033	-25477.300000	-2294.510000	-230.593000	-2778.440000
HEaSC00363	-0.280300	0.118733	2	5.460000	5.353453	5.230000	10.583453	1.938361	5.123453	-26160.500000	-208.300000	-5.926880	-2199.800000
HEaSC00364	-0.261200	0.130667	2	5.460000	5.353453	5.230000	10.583453	1.938361	5.123453	-26061.700000	-214.990000	-5.746740	-2198.490000
HEaSC00273	-0.250700	0.210267	2	5.510000	5.219751	5.230000	10.449751	1.896507	4.939751	-25997.200000	-480.957000	-6.774210	-2053.400000
HEaSC00596	-0.222900	0.290133	2	6.000000	5.632496	5.840000	11.472496	1.912083	5.472496	-25863.200000	-830.765000	-12.501800	-2288.370000
HEaSC00250	-0.215900	0.179733	2	4.650000	4.868522	4.810000	9.678522	2.081403	5.028522	-26122.600000	-305.741000	-2.629100	-1491.000000
HEaSC00190	-0.207200	0.071067	1	3.270000	3.095965	2.920000	6.015965	1.839745	2.745965	-26175.100000	-89.014800	-2.447720	-1533.680000
HEaSC00327	-0.198500	0.148600	2	6.000000	5.876189	5.700000	11.576189	1.929365	5.576189	-26165.900000	-307.381000	-10.180600	-2846.590000
HEaSC00296	-0.195000	0.061667	1	3.270000	2.962263	2.920000	5.882263	1.798857	2.612263	-26209.800000	-72.089500	-2.125640	-1544.080000
HEaSC00176	-0.188100	0.065867	1	3.270000	3.095965	2.920000	6.015965	1.839745	2.745965	-26198.600000	-79.678300	-2.432140	-1540.030000
HEaSC00202	-0.158500	0.479733	4	10.120000	10.649350	9.650000	20.299350	2.005865	10.179350	-25720.600000	-1723.250000	-185.137000	-2598.180000
HEaSC00377	-0.130600	0.394133	4	9.300000	9.737044	9.240000	18.977044	2.040542	9.677044	-25677.000000	-1197.200000	-97.565000	-2317.240000
HEaSC00118	-0.116700	0.262000	2	5.610000	5.335919	5.470000	10.805919	1.926189	5.195919	-25881.500000	-639.211000	-6.426680	-1883.840000
HEaSC00297	-0.109700	0.195933	2	4.460000	4.868522	4.620000	9.488522	2.127471	5.028522	-26167.700000	-331.867000	-2.603280	-1415.730000
HEaSC00398	-0.081800	0.371400	3	8.460000	7.946953	7.780000	15.726953	1.858978	7.266953	-25734.900000	-1177.660000	-14.332200	-2418.410000
HEaSC00396	-0.078400	0.393267	3	8.460000	7.946953	7.780000	15.726953	1.858978	7.266953	-25445.800000	-1225.530000	-16.710400	-2384.810000
HEaSC00272	-0.069600	0.216933	2	5.150000	5.540091	5.420000	10.960091	2.128173	5.810091	-25854.300000	-440.662000	-6.865070	-1948.430000
HEaSC00359	-0.038300	0.055733	1	3.950000	3.528987	3.390000	6.918987	1.751642	2.968987	-26175.800000	-95.326000	-4.632560	-2303.850000
HEaSC00390	-0.034800	0.363133	3	8.220000	8.038316	7.540000	15.578316	1.895172	7.358316	-25826.800000	-1076.600000	-19.437000	-2345.270000
HEaSC00393	-0.034800	0.363533	3	8.220000	8.038316	7.540000	15.578316	1.895172	7.358316	-25799.900000	-1063.880000	-18.617400	-2352.610000
HEaSC00450	-0.033100	0.718867	5	13.460000	13.463281	13.380000	26.843281	1.994300	13.383281	-24806.700000	-3511.920000	-51.941200	-2572.980000
