compound,logP,split,stratum
2-chloroAniline,3.6454999446868896,train,
Bendiocarb,2.089099884033203,train,
HEaSC00102,2.59089994430542,train,
HEaSC00408,0.9437000155448914,train,
HEaSC00054,1.648900032043457,train,
Piperonal,4.949399948120117,train,
Harmine_hydrochloride,10.53600025177002,train,
HEaSC00184,-1.3494000434875488,train,
HEaSC00550,1.3911999464035034,train,
TX3,0.9459212422370911,train,
HEaSC00329,-0.8410000205039978,train,
2-PhenylPhenol,8.77239990234375,train,
Metobromuron,2.9751999378204346,train,
HEaSC00410,-1.6175999641418457,train,
HEaSC00391,1.6890000104904175,train,
HEaSC00432,-0.679099977016449,train,
HEaSC00191,0.07840000092983246,train,
Methyl_salicylate,-2.2822999954223633,train,
HEaSC00438,1.1944999694824219,train,
BisPhenol_A,10.461099624633789,train,
TP6a,-2.2246665954589844,train,
Acibenzolar-S-methyl,7.557300090789795,train,
Propoxur,3.1737000942230225,train,
Flutolanil,12.139300346374512,train,
HEaSC00219,0.5292999744415283,train,
HEaSC00377,-0.1306000053882599,train,
HEaSC00594,0.6650999784469604,train,
HEaSC00528,0.2264000028371811,train,
TP5,-2.662593126296997,train,
P4a,-0.8933700919151306,train,
HEaSC00282,1.5113999843597412,train,
HEaSC00606,2.4725000858306885,train,
HEaSC00306,-0.9262999892234802,train,
HEaSC00393,-0.03480000048875809,train,
HEaSC00086,1.1753000020980835,train,
HEaSC00260,1.0063999891281128,train,
N2,0.9809553623199463,train,
SQ4,-3.1881051063537598,train,
C1,3.3107244968414307,train,
Methiocarb,4.5507001876831055,train,
HEaSC00352,0.7782999873161316,train,
P5a,-1.2261942625045776,train,
2_4-DiisopropylPhenol,7.790500164031982,train,
HEaSC00202,-0.15850000083446503,train,
TP4d,-1.6641207933425903,train,
HEaSC00294,-1.49399995803833,train,
Thiamine_hydrochloride,7.370999813079834,train,
HEaSC00231,-1.932800054550171,train,
HEaSC00434,-1.9362000226974487,train,
Diallyl_diSulfide,5.360199928283691,train,
HEaSC00425,0.9490000009536743,train,
HEaSC00583,-2.839900016784668,train,
Fenuron,3.210200071334839,train,
HEaSC00571,1.5478999614715576,train,
TN1a,0.6831653714179993,train,
3-hydroxybenzoic_acid,3.3703999519348145,train,
Capsaicin,11.394200325012207,train,
HEaSC00603,-0.47189998626708984,train,
